sort iteration 0: 0 
sort iteration 1: 1 
sort iteration 2: 4 
sort iteration 3: 5 
sort iteration 4: 9 
sort iteration 5: 11 
sort iteration 6: 18 
sort iteration 7: 17 
sort iteration 8: 25 
sort iteration 9: 28 
sort iteration 10: 29 
sort iteration 11: 32 
sort iteration 12: 40 
sort iteration 13: 46 
sort iteration 14: 58 
sort iteration 15: 62 
sort iteration 16: 77 
sort iteration 17: 79 
sort iteration 18: 98 
sort iteration 19: 105 
sort iteration 20: 117 
sort iteration 21: 133 
sort iteration 22: 140 
sort iteration 23: 154 
sort iteration 24: 169 
sort iteration 25: 184 
sort iteration 26: 200 
sort iteration 27: 217 
sort iteration 28: 234 
sort iteration 29: 248 
sort iteration 30: 264 
sort iteration 31: 288 
sort iteration 32: 313 
sort iteration 33: 328 
sort iteration 34: 348 
sort iteration 35: 368 
sort iteration 36: 393 
sort iteration 37: 412 
sort iteration 38: 426 
sort iteration 39: 458 
sort iteration 40: 483 
sort iteration 41: 508 
sort iteration 42: 544 
sort iteration 43: 562 
sort iteration 44: 587 
sort iteration 45: 623 
sort iteration 46: 656 
sort iteration 47: 688 
sort iteration 48: 712 
sort iteration 49: 745 
sort iteration 50: 780 
sort iteration 51: 801 
sort iteration 52: 856 
sort iteration 53: 870 
sort iteration 54: 939 
sort iteration 55: 952 
sort iteration 56: 988 
sort iteration 57: 1016 
sort iteration 58: 1057 
sort iteration 59: 1140 
sort iteration 60: 1131 
sort iteration 61: 1165 
sort iteration 62: 1223 
sort iteration 63: 1256 
sort iteration 64: 1294 
sort iteration 65: 1339 
sort iteration 66: 1389 
sort iteration 67: 1465 
sort iteration 68: 1471 
sort iteration 69: 1511 
sort iteration 70: 1564 
sort iteration 71: 1594 
sort iteration 72: 1652 
sort iteration 73: 1686 
sort iteration 74: 1755 
sort iteration 75: 1802 
sort iteration 76: 1846 
sort iteration 77: 1895 
sort iteration 78: 1947 
sort iteration 79: 1998 
sort iteration 80: 2049 
sort iteration 81: 2104 
sort iteration 82: 2149 
sort iteration 83: 2206 
sort iteration 84: 2261 
sort iteration 85: 2317 
sort iteration 86: 2378 
sort iteration 87: 2430 
sort iteration 88: 2486 
sort iteration 89: 2542 
sort iteration 90: 2620 
sort iteration 91: 2671 
sort iteration 92: 2733 
sort iteration 93: 2795 
sort iteration 94: 2849 
sort iteration 95: 2923 
sort iteration 96: 2971 
sort iteration 97: 3035 
sort iteration 98: 3102 
sort iteration 99: 3255 
