123 , 11 , 0
157 , 21 , 0
142 , 30 , 0
185 , 39 , 1
177 , 88 , 3
201 , 112 , 6
260 , 119 , 9
344 , 148 , 12
319 , 89 , 18
324 , 98 , 27
383 , 109 , 39
395 , 124 , 53
343 , 190 , 70
481 , 138 , 89
384 , 218 , 110
559 , 157 , 134
498 , 236 , 161
480 , 177 , 190
463 , 186 , 223
519 , 196 , 259
512 , 206 , 301
787 , 402 , 345
925 , 418 , 395
675 , 236 , 449
638 , 200 , 504
547 , 207 , 566
590 , 215 , 631
577 , 223 , 700
616 , 245 , 775
645 , 239 , 861
673 , 248 , 952
682 , 455 , 1051
3719 , 451 , 1154
2272 , 458 , 1267
4350 , 562 , 1389
4599 , 487 , 1521
2193 , 500 , 1670
2655 , 518 , 1837
3265 , 520 , 2020
3300 , 1386 , 2217
1766 , 299 , 2428
7434 , 689 , 2659
4113 , 641 , 2907
3800 , 322 , 3175
2536 , 611 , 3468
2270 , 623 , 3781
2118 , 639 , 4117
2450 , 650 , 4473
2255 , 666 , 4852
2311 , 678 , 5259
2406 , 873 , 5701
3722 , 705 , 6169
3289 , 794 , 6674
3031 , 1783 , 7201
7296 , 757 , 7758
5829 , 760 , 8348
3943 , 772 , 8964
3531 , 792 , 9625
4419 , 798 , 10331
6413 , 824 , 11080
5534 , 828 , 11881
4588 , 839 , 12727
4625 , 853 , 13617
3804 , 466 , 14560
3239 , 626 , 15564
5312 , 480 , 16618
3869 , 488 , 17735
4868 , 981 , 18917
10697 , 504 , 20166
11782 , 1050 , 21484
11287 , 1079 , 22877
15397 , 1070 , 24350
9732 , 1224 , 25906
23422 , 1006 , 27550
24327 , 1025 , 29287
17825 , 554 , 31114
19780 , 1226 , 33038
1.41326e+06 , 569 , 35062
3.43177e+06 , 637 , 37186
3.95234e+06 , 583 , 39410
3.91271e+06 , 992 , 41734
4.00235e+06 , 849 , 44158
4.15461e+06 , 605 , 46682
4.17467e+06 , 630 , 49306
4.3149e+06 , 619 , 52030
4.47784e+06 , 627 , 54854
4.64863e+06 , 651 , 57778
4.81896e+06 , 721 , 60802
4.94681e+06 , 649 , 63926
5.10954e+06 , 722 , 67150
5.26964e+06 , 663 , 70474
5.41516e+06 , 671 , 73898
5.56715e+06 , 678 , 77422
5.79332e+06 , 686 , 81046
5.91060e+06 , 709 , 84770
6.06092e+06 , 700 , 88594
6.20004e+06 , 750 , 92518
6.53636e+06 , 715 , 96542
6.57002e+06 , 739 , 100666
6.65613e+06 , 747 , 104890
